Test_Number,Unix_Test_Start_Time,Word,WPM,Error_Rate,Error_and_Backspace_Rate
1,1755919096,In,113.782795,0.000000,0.000000
1,1755919096,the,229.192297,0.000000,0.000000
1,1755919096,beginning,159.132986,0.000000,0.000000
1,1755919096,God,108.242839,0.000000,0.000000
1,1755919096,created,217.046067,0.000000,0.000000
1,1755919096,heaven,77.175801,0.000000,0.000000
1,1755919096,and,228.103082,0.000000,0.000000
1,1755919096,earth,173.773339,0.000000,0.000000
2,1755919102,But,142.713883,0.000000,0.000000
2,1755919102,the,261.699671,0.000000,0.000000
2,1755919102,earth,204.970807,0.000000,0.000000
2,1755919102,was,179.164919,0.000000,0.000000
2,1755919102,empty,163.337011,0.000000,0.000000
2,1755919102,and,279.121963,0.000000,0.000000
2,1755919102,unoccupied,70.589076,0.100000,0.200000
2,1755919102,and,193.582078,0.000000,0.000000
2,1755919102,darknesses,142.282180,0.000000,0.000000
2,1755919102,were,151.900786,0.000000,0.000000
2,1755919102,over,73.289405,0.000000,0.000000
2,1755919102,the,240.369047,0.000000,0.000000
2,1755919102,face,144.562354,0.000000,0.000000
2,1755919102,of,208.134823,0.000000,0.000000
2,1755919102,the,195.851275,0.000000,0.000000
2,1755919102,abyss,155.158408,0.000000,0.000000
2,1755919102,and,33.182287,1.000000,2.000000
2,1755919102,so,129.090439,0.000000,0.000000
2,1755919102,the,252.105046,0.000000,0.000000
2,1755919102,Spirit,125.721309,0.000000,0.000000
2,1755919102,of,180.176778,0.000000,0.000000
2,1755919102,God,119.603989,0.000000,0.000000
2,1755919102,was,197.764114,0.000000,0.000000
2,1755919102,brought,205.657081,0.000000,0.000000
2,1755919102,over,176.519246,0.000000,0.000000
2,1755919102,the,249.995167,0.000000,0.000000
2,1755919102,waters,143.773703,0.000000,0.000000
3,1755919208,In,119.850839,0.000000,0.000000
3,1755919208,the,251.124469,0.000000,0.000000
3,1755919208,beginning,163.947853,0.000000,0.000000
3,1755919208,was,125.371570,0.000000,0.000000
3,1755919208,the,251.609761,0.000000,0.000000
3,1755919208,Word,169.374346,0.000000,0.000000
3,1755919208,and,238.092331,0.000000,0.000000
3,1755919208,the,210.972115,0.000000,0.000000
3,1755919208,Word,179.273033,0.000000,0.000000
3,1755919208,was,196.119290,0.000000,0.000000
3,1755919208,with,112.400020,0.000000,0.000000
3,1755919208,God,116.356209,0.000000,0.000000
3,1755919208,and,245.182743,0.000000,0.000000
3,1755919208,God,89.719847,0.000000,0.000000
3,1755919208,was,209.211316,0.000000,0.000000
3,1755919208,the,231.313856,0.000000,0.000000
3,1755919208,Word,160.292350,0.000000,0.000000
4,1755919239,And,132.432955,0.000000,0.000000
4,1755919239,God,125.505321,0.000000,0.000000
4,1755919239,said,161.745812,0.000000,0.000000
4,1755919239,Let,99.899335,0.000000,0.000000
4,1755919239,there,218.046941,0.000000,0.000000
4,1755919239,be,139.647035,0.000000,0.000000
4,1755919239,light,71.371920,0.000000,0.000000
4,1755919239,And,127.192640,0.000000,0.000000
4,1755919239,light,177.751022,0.000000,0.000000
4,1755919239,became,176.991793,0.000000,0.000000
5,1755919245,And,79.150973,0.000000,0.000000
5,1755919245,God,125.511404,0.000000,0.000000
5,1755919245,saw,145.905086,0.000000,0.000000
5,1755919245,the,207.311628,0.000000,0.000000
5,1755919245,light,167.870048,0.000000,0.000000
5,1755919245,that,178.004728,0.000000,0.000000
5,1755919245,it,204.510205,0.000000,0.000000
5,1755919245,was,193.771081,0.000000,0.000000
5,1755919245,good,125.426598,0.000000,0.000000
5,1755919245,and,195.629431,0.000000,0.000000
5,1755919245,so,120.295607,0.000000,0.000000
5,1755919245,he,119.504935,0.000000,0.000000
5,1755919245,divided,164.090242,0.000000,0.000000
5,1755919245,the,210.764077,0.000000,0.000000
5,1755919245,light,209.130948,0.000000,0.000000
5,1755919245,from,169.054143,0.000000,0.000000
5,1755919245,the,205.393526,0.000000,0.000000
5,1755919245,darknesses,141.930627,0.000000,0.000000
6,1755919269,And,66.681018,0.000000,0.000000
6,1755919269,he,148.897062,0.000000,0.000000
6,1755919269,called,156.622941,0.000000,0.000000
6,1755919269,the,251.534238,0.000000,0.000000
6,1755919269,light,195.251452,0.000000,0.000000
6,1755919269,Day,86.495361,0.000000,0.000000
6,1755919269,and,166.537615,0.000000,0.000000
6,1755919269,the,233.351259,0.000000,0.000000
6,1755919269,darknesses,153.323920,0.000000,0.000000
6,1755919269,Night,123.234475,0.000000,0.000000
6,1755919269,And,65.211400,0.000000,0.000000
6,1755919269,it,180.107868,0.000000,0.000000
6,1755919269,became,185.659670,0.000000,0.000000
6,1755919269,evening,182.934858,0.000000,0.000000
6,1755919269,and,225.142345,0.000000,0.000000
6,1755919269,morning,152.552071,0.000000,0.000000
6,1755919269,one,144.653477,0.000000,0.000000
6,1755919269,day,192.942212,0.000000,0.000000
7,1755919277,God,52.618208,0.000000,0.000000
7,1755919277,also,165.407546,0.000000,0.000000
7,1755919277,said,221.334367,0.000000,0.000000
7,1755919277,Let,105.190647,0.000000,0.000000
7,1755919277,there,174.204282,0.000000,0.000000
7,1755919277,be,163.021444,0.000000,0.000000
7,1755919277,a,262.296567,0.000000,0.000000
7,1755919277,firmament,175.122976,0.000000,0.000000
7,1755919277,in,208.340276,0.000000,0.000000
7,1755919277,the,236.117727,0.000000,0.000000
7,1755919277,midst,162.783099,0.000000,0.000000
7,1755919277,of,208.451883,0.000000,0.000000
7,1755919277,the,252.277139,0.000000,0.000000
7,1755919277,waters,133.038577,0.000000,0.000000
7,1755919277,and,289.646863,0.000000,0.000000
7,1755919277,let,154.489714,0.000000,0.000000
7,1755919277,it,104.566983,0.000000,0.000000
7,1755919277,divide,37.217111,0.500000,0.833333
7,1755919277,waters,142.573083,0.000000,0.000000
7,1755919277,from,189.237761,0.000000,0.000000
7,1755919277,waters,60.715644,0.333333,0.666667
8,1755919288,And,53.617838,0.000000,0.000000
8,1755919288,God,125.597813,0.000000,0.000000
8,1755919288,made,167.426524,0.000000,0.000000
8,1755919288,a,119.042824,0.000000,0.000000
8,1755919288,firmament,167.876676,0.000000,0.000000
8,1755919288,and,251.857503,0.000000,0.000000
8,1755919288,he,130.368807,0.000000,0.000000
8,1755919288,divided,154.404638,0.000000,0.000000
8,1755919288,the,250.615124,0.000000,0.000000
8,1755919288,waters,136.945658,0.000000,0.000000
8,1755919288,that,178.475004,0.000000,0.000000
8,1755919288,were,167.812481,0.000000,0.000000
8,1755919288,under,205.739381,0.000000,0.000000
8,1755919288,the,158.553851,0.000000,0.000000
8,1755919288,firmament,45.840463,0.777778,1.000000
8,1755919288,from,186.203528,0.000000,0.000000
8,1755919288,those,189.660449,0.000000,0.000000
8,1755919288,that,45.427841,0.500000,1.000000
8,1755919288,were,155.951620,0.000000,0.000000
8,1755919288,above,161.308734,0.000000,0.000000
8,1755919288,the,226.345891,0.000000,0.000000
8,1755919288,firmament,151.491483,0.000000,0.000000
8,1755919288,And,145.632168,0.000000,0.000000
8,1755919288,so,68.032797,0.000000,0.000000
8,1755919288,it,140.403148,0.000000,0.000000
8,1755919288,became,167.560466,0.000000,0.000000
9,1755919301,And,42.022980,0.000000,0.000000
9,1755919301,God,72.330697,0.000000,0.000000
9,1755919301,called,132.324717,0.000000,0.000000
9,1755919301,the,228.499913,0.000000,0.000000
9,1755919301,firmament,165.637915,0.000000,0.000000
9,1755919301,Heaven,134.029462,0.000000,0.000000
9,1755919301,And,108.007036,0.000000,0.000000
9,1755919301,it,207.692609,0.000000,0.000000
9,1755919301,became,50.582022,0.500000,0.666667
9,1755919301,evening,67.590276,0.714286,0.857143
9,1755919301,and,229.153153,0.000000,0.000000
9,1755919301,morning,152.927940,0.000000,0.000000
9,1755919301,the,180.301876,0.000000,0.000000
9,1755919301,second,186.652901,0.000000,0.000000
9,1755919301,day,196.232050,0.000000,0.000000
